"dhlabid","urn","title","city","timestamp","year","conc","date","samesaken","Alta.samfunnet.er.i.mot.utbygging","protestbevegelse","at.et.møte.blir.arrangert","tv.program","produksjon.av.film","partipolitikk","kommunestyret","domstoler","regjeringen","myndigheter","demonstranter","politiet","saksbehandling.og.juridiske.prosesser","bygging.av.vei.og.anleggsvirksomhet","undersøkelser.og.utredning","arrestasjoner.og.bruk.av.tvangsmidler","økonomisk.og.næringsmessig.nytte","må.ha.kraft.og.strøm","konflikt.mellom.samer.og.nordmenn","rettigheter.til.land.og.ressurser","natur.og.miljø","vern.av.vassdrag","trussel.mot.samisk.kultur.og.næring","trussel.mot.laksefiske","Alta.kautokeinovassdraget.bør.bygges.ut","samiske.særrettigheter","utsatt.og.usikkerhet","unødvendig","splittelse.og.uenighet","vanskelig.å.snakke.om","urettferdig","opprivende","forsoning","samhold.og.enighet","handlekraft.og.beslutninger","tydelig.og.bestemtrettsak","leiren.i.Stilla","sultestreik","politiaksjonen","stortingets.vedtak","opprettelsen.av.Sametinget","Finnmarksloven","udemokratiske.protester","sivil.ulydighet","demonstrantene.opptrer.dårlig","ikke.voldelige","mediedekning","historisk.betydning","kunst.og.kultur","husker.eller.minnes","feilinformasjon","Konstruktiv.sivil.ulydighet","Manglende.utredning.om.konsekvenser","skeptisk.kraftprognose.motstand","meningsløs.kraftutbygging","Skeptisk.til.ulydighet","lov.og.orden","overdrevet.maktbruk.av.myndigheter.og.politi","fredelige.demonstranter","tydelig.og.bestemt","rettsak","arbeiderpartiet","gasskraftverk","neddemming.av.Masi","Kraftlinjer"
NA,"URN:NBN:no-nb_digavis_hordaland_null_null_20221217_139_141_1","hordaland","Voss","20221217","2022","– Då kjem me til å lenkja oss fast. Under Alta-utbygginga var det fraksjonar som ville sprengja. Sjølv er ho ikkje",2022-12-17,0.35,0.78,0.79,0.59,0.36,0.39,0.68,0.39,0.49,0.28,0.38,0.8,0.19,0.7,0.58,0.52,0.94,0.32,0.46,0.78,0.73,0.29,0.52,0.75,0.19,0.5,0.75,0.78,0.64,0.92,0.64,0.64,0.75,0.05,0.03,0.32,0.32,0.8,0.48,0.14,0.34,0.23,0.31,0.43,0.55,0.39,0.17,0.34,0.44,0.18,0.76,0.69,0.15,0.56,0.62,0.48,0.66,0.16,0.54,0.01,0.41,0.52,0.67,0.18,0.36,0.53
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20220126_54_11_1","altaposten","Alta","20220126","2022","– Forestillingen er en doku-drama som omhandler Alta-aksjonen 1979–1982, heter det på Alta kommunes hjemmeside, videre",2022-01-26,0.1,0.49,0.9,0.1,0.15,0.6,0.11,0.04,0.07,0.04,0.53,0.83,0.03,0.3,0.04,0.24,0.82,0.12,0.05,0.37,0.26,0.02,0.04,0.55,0.03,0.05,0.22,0.4,0.17,0.4,0.36,0.31,0.94,0.02,0.01,0.52,0.56,0.31,0.03,0.07,0.08,0.03,0.06,0.42,0.54,0.3,0.07,0.19,0.85,0.1,0.68,0.16,0.15,0.35,0.21,0.1,0.26,0.02,0.57,0.01,0.21,0.19,0.15,0.03,0.04,0.03
NA,"URN:NBN:no-nb_digavis_klassekampen_null_null_20221219_54_295_1","klassekampen","Oslo","20221219","2022","– Nullpunkt», en forestilling om utbyggingen av Alta-Kautokeinovassdraget. n M. Seppola Simonsen brukte kvensk linse for å",2022-12-19,0.09,0.49,0.23,0.16,0.18,0.31,0.23,0.11,0.17,0.1,0.33,0.14,0.05,0.58,0.13,0.39,0.46,0.26,0.49,0.09,0.42,0.16,0.02,0.14,0.1,0.95,0.13,0.58,0.4,0.56,0.5,0.58,0.49,0.03,0.1,0.48,0.42,0.15,0.06,0.03,0.23,0.05,0.06,0.12,0.18,0.11,0.14,0.23,0.3,0.24,0.48,0.71,0.21,0.53,0.44,0.81,0.46,0.06,0.18,0.01,0.2,0.18,0.09,0.05,0.08,0.11
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20221111_54_132_1","altaposten","Alta","20221111","2022","– Økte bevisstheten «Sámiid ædnan» ble opprinnelig skrevet om Alta-saken for Hålogaland Teater. Hætta vokste opp i Maze, som",2022-11-11,0.77,0.53,0.56,0.55,0.44,0.15,0.26,0.18,0.24,0.12,0.51,0.4,0.16,0.83,0.58,0.66,0.76,0.57,0.38,0.45,0.74,0.31,0.66,0.69,0.25,0.39,0.69,0.77,0.33,0.68,0.59,0.64,0.82,0.17,0.38,0.58,0.52,0.47,0.22,0.12,0.19,0.16,0.19,0.3,0.52,0.27,0.45,0.53,0.7,0.65,0.78,0.64,0.43,0.68,0.29,0.49,0.54,0.2,0.68,0.09,0.44,0.62,0.17,0.12,0.73,0.16
NA,"URN:NBN:no-nb_digavis_avvir_null_null_20220513_15_92_1","avvir","Kautokeino","20220513","2022","— r å j eRR Le P 33[ — fr mme opp Alta-Kautokeinovassdraget f - | å -...'.'I- | ne É Å 3 ..",2022-05-13,0.4,0.52,0.72,0.65,0.35,0.36,0.48,0.26,0.54,0.42,0.6,0.53,0.21,0.79,0.51,0.7,0.77,0.72,0.62,0.52,0.84,0.7,0.75,0.77,0.63,0.58,0.71,0.71,0.45,0.68,0.62,0.64,0.66,0.24,0.28,0.84,0.56,0.31,0.22,0.24,0.52,0.23,0.19,0.39,0.57,0.45,0.39,0.49,0.54,0.37,0.59,0.64,0.51,0.58,0.38,0.46,0.5,0.31,0.65,0.11,0.5,0.68,0.35,0.14,0.17,0.31
NA,"URN:NBN:no-nb_digavis_fjordingen_null_null_20220121_88_6_1","fjordingen","Stryn","20220121","2022",": Fr , — 1979: Demonstrasjon mot utbygging av Alta-Kautokeinovassdraget. FOTO: PER LØCHEN/NPK Verneforslag for vassdrag Den",2022-01-21,0.55,0.97,0.97,0.82,0.33,0.35,0.41,0.18,0.2,0.11,0.51,0.98,0.16,0.68,0.17,0.62,0.79,0.33,0.24,0.66,0.84,0.69,0.98,0.82,0.2,0.21,0.76,0.65,0.25,0.87,0.47,0.58,0.85,0.05,0.09,0.69,0.54,0.5,0.17,0.32,0.42,0.14,0.14,0.54,0.74,0.37,0.26,0.5,0.69,0.15,0.77,0.55,0.46,0.46,0.54,0.28,0.51,0.11,0.54,0.08,0.39,0.4,0.22,0.07,0.1,0.12
NA,"URN:NBN:no-nb_digavis_klassekampen_null_null_20221219_54_295_1","klassekampen","Oslo","20221219","2022","«Ellos eatnu! – Nullpunkt», en forestilling om utbyggingen av Alta-Kautokeinovassdraget. n M. Seppola Simonsen brukte kvensk linse for",2022-12-19,0.07,0.4,0.38,0.21,0.39,0.21,0.25,0.11,0.17,0.11,0.23,0.18,0.06,0.53,0.11,0.35,0.44,0.23,0.42,0.08,0.62,0.28,0.02,0.13,0.11,0.95,0.1,0.6,0.54,0.73,0.6,0.72,0.59,0.05,0.15,0.48,0.48,0.11,0.1,0.03,0.25,0.04,0.05,0.2,0.21,0.17,0.14,0.38,0.43,0.19,0.6,0.81,0.21,0.54,0.51,0.84,0.48,0.07,0.25,0.01,0.3,0.19,0.08,0.06,0.08,0.12
NA,"URN:NBN:no-nb_digavis_dagsavisen_null_null_20221111_137_263_1","dagsavisen","Oslo","20221111","2022","«Saamid Ædnan». «Sámiid ædnan» ble opprinne lig skrevet om Alta-saken for Hålogaland Teater. Masi der Hætta vokste opp var en",2022-11-11,0.65,0.53,0.56,0.47,0.41,0.2,0.32,0.17,0.19,0.12,0.39,0.4,0.13,0.79,0.54,0.65,0.79,0.67,0.42,0.48,0.76,0.58,0.64,0.74,0.27,0.51,0.66,0.8,0.32,0.66,0.67,0.62,0.82,0.15,0.43,0.67,0.64,0.64,0.21,0.1,0.21,0.16,0.13,0.37,0.52,0.39,0.59,0.52,0.7,0.8,0.72,0.7,0.52,0.72,0.39,0.42,0.5,0.19,0.8,0.1,0.49,0.58,0.15,0.12,0.75,0.18
NA,"URN:NBN:no-nb_digavis_rogalandsavis_null_null_20221111_120_263_1","rogalandsavis","Stavanger","20221111","2022","«Saamid Ædnan». «Sámiid ædnan» ble opprinne lig skrevet om Alta-saken for Hålogaland Teater. Masi der Hætta vokste opp var en",2022-11-11,0.65,0.53,0.56,0.47,0.41,0.2,0.32,0.17,0.19,0.12,0.39,0.4,0.13,0.79,0.54,0.65,0.79,0.67,0.42,0.48,0.76,0.58,0.64,0.74,0.27,0.51,0.66,0.8,0.32,0.66,0.67,0.62,0.82,0.15,0.43,0.67,0.64,0.64,0.21,0.1,0.21,0.16,0.13,0.37,0.52,0.39,0.59,0.52,0.7,0.8,0.72,0.7,0.52,0.72,0.39,0.42,0.5,0.19,0.8,0.1,0.49,0.58,0.15,0.12,0.75,0.18
NA,"URN:NBN:no-nb_digavis_vesteraalen_null_null_20221019_102_203_1","vesteraalen","Sortland","20221019","2022","» Finnmark ikke ble tillagt vekt i forbindelse med Alta-utbygginga, er det rimelig klart at et reinbeiteområde på Kringelen",2022-10-19,0.62,0.45,0.37,0.47,0.19,0.14,0.28,0.1,0.29,0.15,0.4,0.16,0.03,0.77,0.17,0.55,0.69,0.51,0.5,0.26,0.82,0.14,0.21,0.78,0.05,0.27,0.66,0.65,0.52,0.51,0.42,0.7,0.3,0.13,0.18,0.39,0.41,0.21,0.12,0.07,0.2,0.11,0.29,0.2,0.23,0.17,0.37,0.49,0.44,0.12,0.66,0.69,0.15,0.79,0.25,0.29,0.35,0.09,0.47,0.01,0.56,0.38,0.2,0.05,0.26,0.09
