"URN","Text"
"URN:NBN:no-nb_digavis_altaposten_null_null_20230417_55_44_1","som viste at vi hadde rett. Den historiske linja fra Alta-saken via Fosen og videre til framtidige kamper og alliansebygging"
"URN:NBN:no-nb_digavis_altaposten_null_null_20230417_55_44_1","Historiebevaring – Det er mange personlige historier knyttet til Alta-saken, og ingen som er like, sier Arntzen. Hun er arkeolog"
"URN:NBN:no-nb_digavis_altaposten_null_null_20230417_55_44_1","for alle som var der. Jeg skjønte hvor utrolig viktig Alta-saken fortsatt er for folk i Alta, og hvor viktig det"
"URN:NBN:no-nb_digavis_altaposten_null_null_20230417_55_44_1","for det første historieformidling av kampen mot utbygginga av Alta-Kautokeino-vassdraget, og for det andre å dra lærdom av denne"
"URN:NBN:no-nb_digavis_altaposten_null_null_20230417_55_44_1","det første historieformidling av kampen mot utbygginga av Alta-Kautokeino-vassdraget, og for det andre å dra lærdom av denne med"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230118_0_15_1","mange scener, og stedet har en sterk posisjon i hele Alta-saken blant annet med den aller første demonstrasjonen, forteller"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230118_0_15_1","spente på hvordan publikum vil ta imot filmen om Alta-saken og de dramatiske hendelsene som på mange måter ga startskuddet"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230118_0_15_1","hun står midt i konflikten» Ole Giævers film om Alta-saken er både sterk og viktig, mener Nordlys' anmelder. 5 samiske"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230118_0_15_1","Selv var han også som liten med i demonstrasjon mot Alta-utbygginga sammen med faren, som var aktiv i Folkeaksjonen."
"URN:NBN:no-nb_digavis_nordlys_null_null_20230118_0_15_1","av dommedagsprofetiene som aksjonistene forfekta i forkant av Alta-utbygginga har slått til. Men DeT er ikke dette faktum som"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230118_0_15_1","hvor man prøver å befeste forestillinga om hvilket overgrep Alta-utbygginga angivelig representerte. For laksen i elva. For reindrifta"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230118_0_15_1","gått inn for utbygginga. «Natur og livsmiljø i fare». «Altautbygginga truer Finnmarks rikeste jordbruksområde». «Jordbruk, fiske og"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230118_0_15_1","kreftene som for meir enn 40 år siden sloss mot Altautbygginga, er i dag innbitte motstandere av utbygging av miljøvennlig"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230118_0_15_1","egentlig sto på spill. For den samiske befolkningen handlet Alta-aksjonen om så uendelig mye mer enn bare vern av natur."
"URN:NBN:no-nb_digavis_nordlys_null_null_20230316_0_64_1","kampen om Masi og samiske rettigheter, også kjent som Alta-saken. Historien om forholdet mellom urfolk og staten som bør"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230316_0_64_1","For det samiske er det også interne sår å lege. AlTA-sAKEN Ante Guttormsen (leder), Nils Johan Nango, Klemet Erland Hætta,"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230316_0_64_1","dagens konflikter mellom samer og stat, og for den såkalte Alta-saken. Skal alle lære noe av historien er det viktig å"
"URN:NBN:no-nb_digavis_nordlys_null_null_20230316_0_64_1","foreslått neddemming av området i de første utbygingsplaner for Alta-Kautokeino-vassdraget. Området ble varig vernet i 1973. v -ÅR > f"
"URN:NBN:no-nb_digavis_morgenbladet_null_null_20230303_204_9_1","| 4” F (XE ("";f«:: å D” Som på 70-tallet: Alta-saken, der norske myndigheter ville bygge ut vannkraftverk i Altaelva,"
